intake reason,age in years
Stray,13.58333333
Stray,7.583333333
Abandoned,0.05753408895
Abandoned,0.05753408895
Abandoned,0.05753408895
Abandoned,0.01917802965
Stray,13.25
Owner Died,3.833333333
Owner Died,3.833333333
Incompatible with owner lifestyle,11.33333333
Stray,6.583333333
Stray,2.583333333
Police Assist,5.583333333
Stray,5.583333333
Stray,34.58333333
Stray,34.58333333
Stray,2.083333333
Stray,2.083333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Stray,1.583333333
Injured Wildlife,29.58333333
Injured Wildlife,29.58333333
Injured Wildlife,29.58333333
Injured Wildlife,30
Injured Wildlife,29.58333333
Stray,2.25
Stray,2.083333333
Incompatible with owner lifestyle,3
Incompatible with owner lifestyle,6.083333333
Incompatible with owner lifestyle,3.583333333
Incompatible with owner lifestyle,3.583333333
Incompatible with owner lifestyle,3.583333333
Incompatible with owner lifestyle,2.583333333
Incompatible with owner lifestyle,2.583333333
Stray,6.666666667
Stray,2.666666667
Incompatible with owner lifestyle,6.583333333
Stray,2.583333333
Stray,3.583333333
Incompatible with owner lifestyle,5.583333333
Incompatible with owner lifestyle,5.583333333
Incompatible with owner lifestyle,1.75
Incompatible with owner lifestyle,1.75
Incompatible with owner lifestyle,1.75
Incompatible with owner lifestyle,1.75
Incompatible with owner lifestyle,1.75
Incompatible with owner lifestyle,1.75
Incompatible with owner lifestyle,1.75
Incompatible with owner lifestyle,1.75
Incompatible with owner lifestyle,4.583333333
Incompatible with owner lifestyle,2.083333333
Incompatible with owner lifestyle,4.583333333
Owner Deceased,2.583333333
Owner Deceased,2.583333333
Owner Deceased,2.583333333
Owner Deceased,2.583333333
Owner Deceased,2.583333333
Owner Deceased,2.583333333
Owner Deceased,2.583333333
Owner Deceased,2.583333333
Owner Deceased,2.583333333
Owner Deceased,2.583333333
Stray,5.333333333
Stray,2.583333333
Stray,11.58333333
Stray,16.58333333
Stray,29.58333333
Stray,3.416666667
Injured Wildlife,2.583333333
Abandoned,1.916666667
Stray,1.916666667
Allergies,2.916666667
Incompatible with owner lifestyle,4.25
Incompatible with owner lifestyle,4.25
